2019_Pending_Sales,Date,2020_Pending_Sales,Home Sales Index
277,2020-01-04,243,87.72563177
265,2020-01-11,308,116.2264151
320,2020-01-18,365,114.0625
293,2020-01-25,314,107.1672355
372,2020-02-01,407,109.4086022
340,2020-02-08,406,119.4117647
393,2020-02-15,404,102.7989822
366,2020-02-22,339,92.62295082
354,2020-02-29,406,114.6892655
414,2020-03-07,405,97.82608696
434,2020-03-14,379,87.32718894
430,2020-03-21,211,49.06976744
430,2020-03-28,124,28.8372093
465,2020-04-04,105,22.58064516
457,2020-04-11,110,24.07002188
436,2020-04-18,92,21.10091743
447,2020-04-25,96,21.47651007
491,2020-05-02,86,17.51527495
469,2020-05-09,77,16.41791045
441,2020-05-16,101,22.90249433
412,2020-05-23,102,24.75728155
414,2020-05-30,92,22.22222222
411,2020-06-06,140,34.06326034
428,2020-06-13,145,33.87850467
442,2020-06-20,182,41.17647059
479,2020-06-27,170,35.49060543
350,2020-07-04,166,47.42857143
450,2020-07-11,272,60.44444444
488,2020-07-18,347,71.10655738
406,2020-07-25,336,82.75862069
407,2020-08-01,380,93.36609337
399,2020-08-08,359,89.97493734
355,2020-08-15,443,124.7887324
340,2020-08-22,417,122.6470588
327,2020-08-29,423,129.3577982
318,2020-09-05,408,128.3018868
341,2020-09-12,368,107.9178886
317,2020-09-19,435,137.2239748
398,2020-09-26,431,108.2914573
369,2020-10-03,431,116.802168
343,2020-10-10,495,144.3148688
371,2020-10-17,429,115.6334232
418,2020-10-24,531,127.0334928
434,2020-10-31,562,129.4930876
435,2020-11-07,491,112.8735632
415,2020-11-14,494,119.0361446
419,2020-11-21,481,114.797136
269,2020-11-28,327,121.5613383
366,2020-12-05,459,125.4098361
384,2020-12-12,543,141.40625
361,2020-12-19,518,143.4903047
207,2020-12-26,339,163.7681159
243,2021-01-02,366,150.617284
308,2021-01-09,510,165.5844156
365,2021-01-16,527,144.3835616
314,2021-01-23,422,134.3949045
407,2021-01-30,520,127.7641278
406,2021-02-06,536,132.0197044
404,2021-02-13,611,151.2376238
339,2021-02-20,583,171.9764012
406,2021-02-27,655,161.3300493
405,2021-03-06,656,161.9753086
379,2021-03-13,648,170.9762533
434,2021-03-20,695,160.1382488
430,2021-03-27,731,170
430,2021-04-03,625,145.3488372093023
465,2021-04-10,783,168.38709677419354
457,2021-04-17,744,162.800875273523
436,2021-04-24,726,166.5137614678899
447,2021-05-01,742,165.99552572706935
491,2021-05-08,790,160.89613034623218
469,2021-05-15,802,171.00213219616205
441,2021-05-22,755,171.20181405895693
412,2021-05-29,NA,NA
414,2021-06-05,NA,NA
411,2021-06-12,NA,NA
428,2021-06-19,NA,NA
442,2021-06-26,NA,NA
479,2021-07-03,NA,NA
350,2021-07-10,NA,NA
450,2021-07-17,NA,NA
488,2021-07-24,NA,NA
406,2021-07-31,NA,NA
407,2021-08-07,NA,NA
399,2021-08-14,NA,NA
355,2021-08-21,NA,NA
340,2021-08-28,NA,NA
327,2021-09-04,NA,NA
318,2021-09-11,NA,NA
341,2021-09-18,NA,NA
317,2021-09-25,NA,NA
398,2021-10-02,NA,NA
369,2021-10-09,NA,NA
343,2021-10-16,NA,NA
371,2021-10-23,NA,NA
418,2021-10-30,NA,NA
434,2021-11-06,NA,NA
435,2021-11-13,NA,NA
415,2021-11-20,NA,NA
419,2021-11-27,NA,NA
269,2021-12-04,NA,NA
366,2021-12-11,NA,NA
384,2021-12-18,NA,NA
361,2021-12-25,NA,NA
